model_name, participant, is_model, is_theta, value, prob
Threshold, 1, false, true, -0.34504, 3.3483e-18
Threshold, 1, false, true, -0.30983, 0.0051263
Threshold, 1, false, true, -0.27462, 0.017833
Threshold, 1, false, true, -0.23941, 0.040925
Threshold, 1, false, true, -0.2042, 0.06646
Threshold, 1, false, true, -0.16899, 0.090675
Threshold, 1, false, true, -0.13378, 0.11368
Threshold, 1, false, true, -0.09857, 0.13683
Threshold, 1, false, true, -0.063359, 0.15961
Threshold, 1, false, true, -0.028148, 0.18178
Threshold, 1, false, true, 0.007062, 0.20311
Threshold, 1, false, true, 0.042273, 0.21991
Threshold, 1, false, true, 0.077483, 0.23869
Threshold, 1, false, true, 0.11269, 0.26084
Threshold, 1, false, true, 0.1479, 0.28092
Threshold, 1, false, true, 0.18311, 0.30137
Threshold, 1, false, true, 0.21833, 0.31963
Threshold, 1, false, true, 0.25354, 0.33539
Threshold, 1, false, true, 0.28875, 0.34417
Threshold, 1, false, true, 0.32396, 0.34909
Threshold, 1, false, true, 0.35917, 0.35024
Threshold, 1, false, true, 0.39438, 0.3489
Threshold, 1, false, true, 0.42959, 0.34938
Threshold, 1, false, true, 0.4648, 0.35787
Threshold, 1, false, true, 0.50001, 0.36687
Threshold, 1, false, true, 0.53522, 0.37254
Threshold, 1, false, true, 0.57043, 0.37104
Threshold, 1, false, true, 0.60564, 0.36699
Threshold, 1, false, true, 0.64085, 0.36234
Threshold, 1, false, true, 0.67606, 0.35908
Threshold, 1, false, true, 0.71127, 0.35654
Threshold, 1, false, true, 0.74648, 0.34889
Threshold, 1, false, true, 0.78169, 0.34684
Threshold, 1, false, true, 0.8169, 0.34768
Threshold, 1, false, true, 0.85211, 0.35346
Threshold, 1, false, true, 0.88733, 0.3617
Threshold, 1, false, true, 0.92254, 0.37436
Threshold, 1, false, true, 0.95775, 0.3811
Threshold, 1, false, true, 0.99296, 0.38447
Threshold, 1, false, true, 1.0282, 0.38889
Threshold, 1, false, true, 1.0634, 0.38757
Threshold, 1, false, true, 1.0986, 0.37898
Threshold, 1, false, true, 1.1338, 0.36696
Threshold, 1, false, true, 1.169, 0.35166
Threshold, 1, false, true, 1.2042, 0.32896
Threshold, 1, false, true, 1.2394, 0.30255
Threshold, 1, false, true, 1.2746, 0.27627
Threshold, 1, false, true, 1.3099, 0.25361
Threshold, 1, false, true, 1.3451, 0.24105
Threshold, 1, false, true, 1.3803, 0.23589
Threshold, 1, false, true, 1.4155, 0.23874
Threshold, 1, false, true, 1.4507, 0.24674
Threshold, 1, false, true, 1.4859, 0.26548
Threshold, 1, false, true, 1.5211, 0.28898
Threshold, 1, false, true, 1.5563, 0.3081
Threshold, 1, false, true, 1.5915, 0.32127
Threshold, 1, false, true, 1.6267, 0.33158
Threshold, 1, false, true, 1.662, 0.34391
Threshold, 1, false, true, 1.6972, 0.34378
Threshold, 1, false, true, 1.7324, 0.33538
Threshold, 1, false, true, 1.7676, 0.32035
Threshold, 1, false, true, 1.8028, 0.30254
Threshold, 1, false, true, 1.838, 0.28226
Threshold, 1, false, true, 1.8732, 0.2672
Threshold, 1, false, true, 1.9084, 0.26375
Threshold, 1, false, true, 1.9436, 0.26547
Threshold, 1, false, true, 1.9789, 0.27468
Threshold, 1, false, true, 2.0141, 0.28024
Threshold, 1, false, true, 2.0493, 0.28876
Threshold, 1, false, true, 2.0845, 0.28595
Threshold, 1, false, true, 2.1197, 0.29245
Threshold, 1, false, true, 2.1549, 0.28619
Threshold, 1, false, true, 2.1901, 0.27566
Threshold, 1, false, true, 2.2253, 0.26527
Threshold, 1, false, true, 2.2605, 0.25365
Threshold, 1, false, true, 2.2957, 0.24003
Threshold, 1, false, true, 2.331, 0.24104
Threshold, 1, false, true, 2.3662, 0.23376
Threshold, 1, false, true, 2.4014, 0.25452
Threshold, 1, false, true, 2.4366, 0.28068
Threshold, 1, false, true, 2.4718, 0.29836
Threshold, 1, false, true, 2.507, 0.2966
Threshold, 1, false, true, 2.5422, 0.27173
Threshold, 1, false, true, 2.5774, 0.21982
Threshold, 1, false, true, 2.6126, 0.15704
Threshold, 1, false, true, 2.6479, 0.14377
Threshold, 1, false, true, 2.6831, 0.21859
Threshold, 1, false, true, 2.7183, 0.29891
Threshold, 1, false, true, 2.7535, 0.40575
Threshold, 1, false, true, 2.7887, 0.44094
Threshold, 1, false, true, 2.8239, 0.44629
Threshold, 1, false, true, 2.8591, 0.44022
Threshold, 1, false, true, 2.8943, 0.25208
Threshold, 1, false, true, 2.9295, 0.083132
Threshold, 1, false, true, 2.9647, 0.063688
Threshold, 1, false, true, 3, 0.2083
Threshold, 1, false, true, 3.0352, 0.16912
Threshold, 1, false, true, 3.0704, 0.21795
Threshold, 1, false, true, 3.1056, 0.51287
Threshold, 1, false, true, 3.1408, 7.5386e-11
Threshold, 1, true, true, -3.1416, 0.1504
Threshold, 1, true, true, -3.0159, 0.1504
Threshold, 1, true, true, -2.8903, 0.1504
Threshold, 1, true, true, -2.7646, 0.1504
Threshold, 1, true, true, -2.6389, 0.1504
Threshold, 1, true, true, -2.5133, 0.1504
Threshold, 1, true, true, -2.3876, 0.1504
Threshold, 1, true, true, -2.2619, 0.1504
Threshold, 1, true, true, -2.1363, 0.1504
Threshold, 1, true, true, -2.0106, 0.15041
Threshold, 1, true, true, -1.885, 0.15041
Threshold, 1, true, true, -1.7593, 0.15042
Threshold, 1, true, true, -1.6336, 0.15045
Threshold, 1, true, true, -1.508, 0.1505
